2F1	KLRG1	SLC25A5
HEPIS	C11orf74	C17orf49
HGF	IL6	SOS1
HGFL	MST1	PIK3IP1
HGL	LIPF	LLGL2	NRG1
HGPS	LMNA	ROBO3	ZMPSTE24
HGRG8	YTHDF2	YTHDF2P1
HI	ABCC8	AKAP4
HIP	HHIP	REG3A	RPL29	ST13
HIS	AKR1B10	HAL
HIS1	HEXIM1	HTN1	VIS1
HK1	HOOK1	KCNA4
HK2	HOOK2	KCNA5	KIF2A
HK4	GCK	KCNA2
HL	HMGCL	LIPC
HL-2	DNAH6	ITLN2
HLAL	HLA-L	LIPF
HLP	GZMB	HAP1	SKIV2L
HLP2	DDX3X	HPCAL1
HLP3	SHH	VSNL1
HMAT1	ALG1	PEA15
HNPCC	MLH1	MSH2
HNRPA3	HNRNPA3	HNRNPA3P1
HNT	NTM	RREB1
HOKPP	CACNA1S	KCNE3
HOP	HOPX	STIP1
HOX1	HOXA1	HOXA10	HOXA11	HOXA13	HOXA3	HOXA4	HOXA5	HOXA6	HOXA7	HOXA9
HOX1D	HOXA4	HOXD3
HOX2	HOXB1	HOXB2	HOXB3	HOXB4	HOXB5	HOXB6	HOXB7	HOXB8	HOXB9
HOX3	HOXC12	HOXC13	HOXC4	HOXC5	HOXC6	HOXC8	HOXC9
HOX4	HOXD1	HOXD10	HOXD11	HOXD3	HOXD4	HOXD8	HOXD9
HPC2	ELAC2	PCAP
HPIP	HCFC1R1	PBXIP1
HPS2	AP3B1	TFF1
HRAS1	HRAS	RASSF7
HRCA1	RCA1	RNF139
HREP	CDRT1	FBXW10
HRG4	NRG4	UNC119
HRMT1L3	PRMT3	PRMT8
HS1	EEF1A2	HCLS1	YWHAQ
HSD17	HSD17B1	HSD17B2
HSDJ0798C17	OR2A7	OR2A9P
HSPCA	HSP90AA1	HSP90AA2
HSS	GFER	PANK2	SGSH	SPAG9
HSST2	NDST2	SULT2B1
HSTF1	FGF4	HSF1
HTR3	CCT6A	HTR3A
HZF2	NR1D2	ZNF267
IAP	CD47	IAPP	MAGT1
IBP	DEF6	TSPO
IBP1	IGBP1	IGFBP1
ICBP90	UHRF1	UHRF1BP1
ICIS	MTUS1	MTUS2
ICln	CLNS1A	CLNS1AP1
IDD	COL9A3	DGCR2
IDDM1	HLA-DQB1	IDDM2
IF	CFI	GIF
IFN-alphaI	IFNA17	IFNA21
IFNA	IFN1@	IFNA2
IGER	MS4A2	PHF11
IGHV4-3	IGHV4-30-2	IGHV4-30-4
IGLC	IGLC1	IGLC2	IGLC3	IGLC4	IGLC5	IGLC6
IL-20	IL17B	IL20
IL-21	IL17C	IL21	IL22
IL-22	IL17D	IL22
IL-25	C19orf10	IL25
IL-27	C19orf10	IL17D	IL27
IL1RA	IL1R1	IL1RN
IL27	C19orf10	IL17D
ILWEQ	HIP1	HIP1R	TLN1	TLN2
IMP2	IMMP2L	SPPL3
INT1	INTS1	WNT1
INT2	FGF3	INTS2
INT3	INTS3	NOTCH4
INT4	INTS4	WNT3
INT6	EIF3E	INTS6
IP	ATPIF1	PTGIR
ISO1	EIF1	SRR
ISWI	SMARCA1	SMARCA5
J1	IGKJ1	TRGJ1
J2	IGKJ2	TRGJ2
JDP1	BATF3	DNAJC12
JTK5	RYK	RYKP1
K-REV	RAP1B	RAP2A
K12	KRT12	SECTM1
K13	KCNG1	KRT13
K7	KRT7	RBPJP4
KAL	KAL1	SERPINA4
KAP	CDKN3	NAPSA
KAT3	CCBL2	RBMXL1
KAT4	GOT2	TAF1
KFS	KFM	SGM1
KIAA0172	KANK1	KANK4
KIAA0229	ANKS1A	TCP11
KIAA0266	ALG11	UTP14C
